date,ticker,sentiment_score
2025-04-20,BAJAJFINSV.NS,1.0
2025-04-27,BAJAJFINSV.NS,0.999
2025-05-04,BAJAJFINSV.NS,-1.0
2025-05-11,BAJAJFINSV.NS,0.999
2025-05-18,BAJAJFINSV.NS,1.0
2025-05-25,BAJAJFINSV.NS,1.0
2025-06-01,BAJAJFINSV.NS,1.0
2025-06-08,BAJAJFINSV.NS,1.0
2025-06-15,BAJAJFINSV.NS,1.0
2025-06-22,BAJAJFINSV.NS,1.0
2025-06-29,BAJAJFINSV.NS,1.0
2025-07-06,BAJAJFINSV.NS,-1.0
2025-07-13,BAJAJFINSV.NS,0.0
2025-07-20,BAJAJFINSV.NS,0.0
2025-07-27,BAJAJFINSV.NS,-1.0
2025-08-03,BAJAJFINSV.NS,-1.0
2025-08-10,BAJAJFINSV.NS,0.999
2025-08-17,BAJAJFINSV.NS,0.0
2025-08-24,BAJAJFINSV.NS,1.0
2025-08-31,BAJAJFINSV.NS,-1.0
2025-09-07,BAJAJFINSV.NS,1.0
2025-09-14,BAJAJFINSV.NS,1.0
2025-09-21,BAJAJFINSV.NS,0.0
2025-09-28,BAJAJFINSV.NS,-1.0
2025-10-05,BAJAJFINSV.NS,0.999
2025-10-12,BAJAJFINSV.NS,1.0
2025-10-19,BAJAJFINSV.NS,1.0
2025-10-26,BAJAJFINSV.NS,1.0
2025-11-02,BAJAJFINSV.NS,-1.0
2025-11-09,BAJAJFINSV.NS,0.0
2025-11-16,BAJAJFINSV.NS,-1.0
2025-11-23,BAJAJFINSV.NS,0.999
2025-11-30,BAJAJFINSV.NS,1.0
2025-12-07,BAJAJFINSV.NS,1.0
2025-12-14,BAJAJFINSV.NS,0.0
2025-12-21,BAJAJFINSV.NS,-1.0
2025-12-28,BAJAJFINSV.NS,0.999
2026-01-04,BAJAJFINSV.NS,0.999
2026-01-11,BAJAJFINSV.NS,-1.0
2026-01-18,BAJAJFINSV.NS,1.0
2026-01-25,BAJAJFINSV.NS,-1.0
2026-02-01,BAJAJFINSV.NS,0.0
2026-02-08,BAJAJFINSV.NS,1.0
2026-02-15,BAJAJFINSV.NS,0.999
2026-02-22,BAJAJFINSV.NS,1.0
2026-03-01,BAJAJFINSV.NS,-1.0
2026-03-08,BAJAJFINSV.NS,-1.0
2026-03-15,BAJAJFINSV.NS,-1.0
2026-03-22,BAJAJFINSV.NS,-1.0
2026-03-29,BAJAJFINSV.NS,0.999
2026-04-05,BAJAJFINSV.NS,-1.0
2026-04-12,BAJAJFINSV.NS,1.0
2026-04-19,BAJAJFINSV.NS,1.0
2026-04-26,BAJAJFINSV.NS,-1.0
2026-05-03,BAJAJFINSV.NS,1.0
2026-05-10,BAJAJFINSV.NS,1.0
2026-05-17,BAJAJFINSV.NS,-1.0
2026-05-24,BAJAJFINSV.NS,1.0
2026-05-31,BAJAJFINSV.NS,0.999
2026-06-07,BAJAJFINSV.NS,-1.0
2026-06-14,BAJAJFINSV.NS,1.0
2021-06-27,BAJFINANCE.NS,1.0
2021-07-04,BAJFINANCE.NS,0.0
2021-07-11,BAJFINANCE.NS,0.938
2021-07-18,BAJFINANCE.NS,1.0
2021-07-25,BAJFINANCE.NS,1.0
2021-08-01,BAJFINANCE.NS,1.0
2021-08-08,BAJFINANCE.NS,1.0
2021-08-15,BAJFINANCE.NS,1.0
2021-08-22,BAJFINANCE.NS,1.0
2021-08-29,BAJFINANCE.NS,0.938
2021-09-05,BAJFINANCE.NS,1.0
2021-09-12,BAJFINANCE.NS,0.61
2021-09-19,BAJFINANCE.NS,1.0
2021-09-26,BAJFINANCE.NS,0.938
2021-10-03,BAJFINANCE.NS,-1.0
2021-10-10,BAJFINANCE.NS,1.0
2021-10-17,BAJFINANCE.NS,1.0
2021-10-24,BAJFINANCE.NS,-1.0
2021-10-31,BAJFINANCE.NS,-1.0
2021-11-07,BAJFINANCE.NS,1.0
2021-11-14,BAJFINANCE.NS,1.0
2021-11-21,BAJFINANCE.NS,0.0
2021-11-28,BAJFINANCE.NS,-1.0
2021-12-05,BAJFINANCE.NS,1.0
2021-12-12,BAJFINANCE.NS,1.0
2021-12-19,BAJFINANCE.NS,-1.0
2021-12-26,BAJFINANCE.NS,1.0
2022-01-02,BAJFINANCE.NS,1.0
2022-01-09,BAJFINANCE.NS,1.0
2022-01-16,BAJFINANCE.NS,1.0
2022-01-23,BAJFINANCE.NS,-1.0
2022-01-30,BAJFINANCE.NS,-1.0
2022-02-06,BAJFINANCE.NS,0.938
2022-02-13,BAJFINANCE.NS,-1.0
2022-02-20,BAJFINANCE.NS,0.61
2022-02-27,BAJFINANCE.NS,1.0
2022-03-06,BAJFINANCE.NS,-1.0
2022-03-13,BAJFINANCE.NS,1.0
2022-03-20,BAJFINANCE.NS,0.938
2022-03-27,BAJFINANCE.NS,1.0
2022-04-03,BAJFINANCE.NS,1.0
2022-04-10,BAJFINANCE.NS,0.0
2022-04-17,BAJFINANCE.NS,1.0
2022-04-24,BAJFINANCE.NS,-1.0
2022-05-01,BAJFINANCE.NS,-1.0
2022-05-08,BAJFINANCE.NS,-1.0
2022-05-15,BAJFINANCE.NS,-1.0
2022-05-22,BAJFINANCE.NS,1.0
2022-05-29,BAJFINANCE.NS,1.0
2022-06-05,BAJFINANCE.NS,0.0
2022-06-12,BAJFINANCE.NS,-1.0
2022-06-19,BAJFINANCE.NS,-1.0
2022-06-26,BAJFINANCE.NS,1.0
2022-07-03,BAJFINANCE.NS,1.0
2022-07-10,BAJFINANCE.NS,1.0
2022-07-17,BAJFINANCE.NS,1.0
2022-07-24,BAJFINANCE.NS,0.938
2022-07-31,BAJFINANCE.NS,1.0
2022-08-07,BAJFINANCE.NS,1.0
2022-08-14,BAJFINANCE.NS,1.0
2022-08-21,BAJFINANCE.NS,0.61
2022-08-28,BAJFINANCE.NS,-1.0
2022-09-04,BAJFINANCE.NS,1.0
2022-09-11,BAJFINANCE.NS,1.0
2022-09-18,BAJFINANCE.NS,0.0
2022-09-25,BAJFINANCE.NS,0.938
2022-10-02,BAJFINANCE.NS,-1.0
2022-10-09,BAJFINANCE.NS,1.0
2022-10-16,BAJFINANCE.NS,1.0
2022-10-23,BAJFINANCE.NS,1.0
2022-10-30,BAJFINANCE.NS,-1.0
2022-11-06,BAJFINANCE.NS,0.938
2022-11-13,BAJFINANCE.NS,-1.0
2022-11-20,BAJFINANCE.NS,-1.0
2022-11-27,BAJFINANCE.NS,0.0
2022-12-04,BAJFINANCE.NS,1.0
2022-12-11,BAJFINANCE.NS,-1.0
2022-12-18,BAJFINANCE.NS,1.0
2022-12-25,BAJFINANCE.NS,-1.0
2023-01-01,BAJFINANCE.NS,1.0
2023-01-08,BAJFINANCE.NS,-1.0
2023-01-15,BAJFINANCE.NS,0.61
2023-01-22,BAJFINANCE.NS,-1.0
2023-01-29,BAJFINANCE.NS,-1.0
2023-02-05,BAJFINANCE.NS,1.0
2023-02-12,BAJFINANCE.NS,1.0
2023-02-19,BAJFINANCE.NS,1.0
2023-02-26,BAJFINANCE.NS,-1.0
2023-03-05,BAJFINANCE.NS,-1.0
2023-03-12,BAJFINANCE.NS,-1.0
2023-03-19,BAJFINANCE.NS,-1.0
2023-03-26,BAJFINANCE.NS,0.61
2023-04-02,BAJFINANCE.NS,0.61
2023-04-09,BAJFINANCE.NS,0.938
2023-04-16,BAJFINANCE.NS,1.0
2023-04-23,BAJFINANCE.NS,0.0
2023-04-30,BAJFINANCE.NS,1.0
2023-05-07,BAJFINANCE.NS,1.0
2023-05-14,BAJFINANCE.NS,0.938
2023-05-21,BAJFINANCE.NS,0.0
2023-05-28,BAJFINANCE.NS,1.0
2023-06-04,BAJFINANCE.NS,0.938
2023-06-11,BAJFINANCE.NS,1.0
2023-06-18,BAJFINANCE.NS,1.0
2023-06-25,BAJFINANCE.NS,-1.0
2023-07-02,BAJFINANCE.NS,1.0
2023-07-09,BAJFINANCE.NS,1.0
2023-07-16,BAJFINANCE.NS,-1.0
2023-07-23,BAJFINANCE.NS,1.0
2023-07-30,BAJFINANCE.NS,-1.0
2023-08-06,BAJFINANCE.NS,-1.0
2023-08-13,BAJFINANCE.NS,1.0
2023-08-20,BAJFINANCE.NS,-1.0
2023-08-27,BAJFINANCE.NS,1.0
2023-09-03,BAJFINANCE.NS,0.938
2023-09-10,BAJFINANCE.NS,1.0
2023-09-17,BAJFINANCE.NS,1.0
2023-09-24,BAJFINANCE.NS,0.0
2023-10-01,BAJFINANCE.NS,1.0
2023-10-08,BAJFINANCE.NS,1.0
2023-10-15,BAJFINANCE.NS,0.61
2023-10-22,BAJFINANCE.NS,-1.0
2023-10-29,BAJFINANCE.NS,-1.0
2023-11-05,BAJFINANCE.NS,1.0
2023-11-12,BAJFINANCE.NS,1.0
2023-11-19,BAJFINANCE.NS,-1.0
2023-11-26,BAJFINANCE.NS,-1.0
2023-12-03,BAJFINANCE.NS,1.0
2023-12-10,BAJFINANCE.NS,0.0
2023-12-17,BAJFINANCE.NS,1.0
2023-12-24,BAJFINANCE.NS,-1.0
2023-12-31,BAJFINANCE.NS,1.0
2024-01-07,BAJFINANCE.NS,1.0
2024-01-14,BAJFINANCE.NS,1.0
2024-01-21,BAJFINANCE.NS,-1.0
2024-01-28,BAJFINANCE.NS,-1.0
2024-02-04,BAJFINANCE.NS,-1.0
2024-02-11,BAJFINANCE.NS,-1.0
2024-02-18,BAJFINANCE.NS,1.0
2024-02-25,BAJFINANCE.NS,1.0
2024-03-03,BAJFINANCE.NS,-1.0
2024-03-10,BAJFINANCE.NS,-1.0
2024-03-17,BAJFINANCE.NS,0.61
2024-03-24,BAJFINANCE.NS,0.938
2024-03-31,BAJFINANCE.NS,1.0
2024-04-07,BAJFINANCE.NS,0.0
2024-04-14,BAJFINANCE.NS,1.0
